1,2,10
2,3,2
3,4,8
4,5,10
5,6,5
6,7,2
7,8,6
8,9,9
9,10,6
10,11,6
11,12,1
12,13,5
13,14,3
14,15,7
15,16,4
16,17,3
17,18,2
18,19,2
19,20,2
20,21,8
21,22,4
22,23,7
23,24,3
24,25,3
25,26,3
26,27,2
27,28,2
28,29,6
29,30,4
30,31,10
31,32,10
32,33,9
33,34,8
34,35,6
35,36,1
36,37,6
37,38,4
38,39,9
39,40,6
40,41,4
41,42,7
42,43,1
43,44,2
44,45,7
45,46,1
46,47,8
47,48,9
48,49,4
49,50,9
50,51,5
51,52,8
52,53,8
53,54,5
54,55,7
55,56,10
56,57,4
57,58,4
58,59,5
59,60,6
60,61,8
61,62,2
62,63,4
63,64,6
64,65,3
65,66,6
66,67,6
67,68,6
68,69,1
69,70,4
70,71,2
71,72,8
72,73,6
73,74,3
74,75,10
75,76,3
76,77,9
77,78,4
78,79,6
79,80,5
80,81,5
81,82,4
82,83,5
83,84,9
84,85,3
85,86,5
86,87,4
87,88,8
88,89,1
89,90,8
90,91,7
91,92,10
92,93,1
93,94,9
94,95,2
95,96,10
96,97,9
97,98,8
98,99,1
99,100,5
